,Position,Company,Location,Job URL,Job Description,Skills
60,Lead Data Analyst - AI/ ML,Optum,Hyderābād,"https://www.glassdoor.co.in/job-listing/lead-data-analyst-ai-ml-optum-JV_IC2865319_KO0,23_KE24,29.htm?jl=1009659256439","Ensure that AI and automation solutions comply with relevant industry standards, regulations, and best practices. Knowledge of IT operations and best practices.&hellip;","Azure, Ansible, R, Google Cloud Platform, Java"
61,Property Management Analyst,BP Energy,Pune,"https://www.glassdoor.co.in/job-listing/property-management-analyst-bp-energy-JV_IC2856202_KO0,27_KE28,37.htm?jl=1009566901792",Proactively develop effective internal and external working relationships to understand the needs of others and offer advice and solutions to improve ways of…&hellip;,Negotiation
62,Data Analyst/ Analytics Engineer,American Express Global Business Travel,Bengaluru,"https://www.glassdoor.co.in/job-listing/data-analyst-analytics-engineer-american-express-global-business-travel-JV_IC2940587_KO0,31_KE32,71.htm?jl=1009572022291","Whether you’re an analyst with a knack for building scalable solutions or an engineer eager to expand into a more analytical, data-focused role, this…&hellip;","CI/CD, Git, SQL, Continuous integration, Software development"
63,"Finance Quality Assurance Testing and Validation, Exception Management – Fin Solutions Lead Analyst (VP)",Citi,Mumbai,"https://www.glassdoor.co.in/job-listing/finance-quality-assurance-testing-and-validation-exception-management-fin-solutions-lead-analyst-vp-citi-JV_IC2851180_KO0,99_KE100,104.htm?jl=1009680482277","Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its…&hellip;","Power BI, Microsoft Excel, Management, Microsoft Office, Analysis skills"
64,FP&A Cost Performance Senior Analyst C&P,BP Energy,Pune,"https://www.glassdoor.co.in/job-listing/fpa-cost-performance-senior-analyst-cp-bp-energy-JV_IC2856202_KO0,38_KE39,48.htm?jl=1009644129219","The role will involve closely working with various collaborators including engineers and other fields to develop budgets and forecasts, thorough cost control,…&hellip;","Power BI, SAP, Financial report writing, Cost control, Performance management"
65,"Data Analyst (Kafka, API)",ITI Data,Hyderābād,"https://www.glassdoor.co.in/job-listing/data-analyst-kafka-api-iti-data-JV_IC2865319_KO0,22_KE23,31.htm?jl=1009524238284",The data analyst is expected to tie the business requirements and high-level design documents to low level design and mapping documents. Knowledge of REST APIs.&hellip;,"Oracle, XML, Microsoft SQL Server, SOAP, SQL"
66,Benchmarking Analyst - TSI,BP Energy,Pune,"https://www.glassdoor.co.in/job-listing/benchmarking-analyst-tsi-bp-energy-JV_IC2856202_KO0,24_KE25,34.htm?jl=1009669863471",In this role you will be responsible for standardized collection of project data throughout a project lifecycle to maintain an effective corporate memory…&hellip;,"Statistics, Microsoft Excel, Project management, Machine learning, Conflict management"
67,"Associate, Data Management & Quantitative Analysis I",BNY,Pune,"https://www.glassdoor.co.in/job-listing/associate-data-management-quantitative-analysis-i-bny-JV_IC2856202_KO0,49_KE50,53.htm?jl=1009692770096","Focus on your health, foster your personal resilience, and reach your financial goals as a valued member of our team, along with generous paid leaves, including…&hellip;","Microsoft Access, Bloomberg, SQL"
68,FP&A O&G Data Modelling Senior Analyst,BP Energy,Pune,"https://www.glassdoor.co.in/job-listing/fpa-og-data-modelling-senior-analyst-bp-energy-JV_IC2856202_KO0,36_KE37,46.htm?jl=1009677142440","8-10 years of relevant post degree experience in financial control, reporting or auditing (or similar) in an Oil and Gas business or experience in industries…&hellip;","Power BI, SAP, Logistics, SOX, Performance management"
69,Data Analyst Intern,Labmentix,Remote,"https://www.glassdoor.co.in/job-listing/data-analyst-intern-labmentix-JV_KO0,19_KE20,29.htm?jl=1009682287960","As an intern, you will have the opportunity to work remotely from Bengaluru, gaining valuable experience in data analysis and contributing to various projects.&hellip;","Microsoft Excel, Data analysis skills, SQL, Analysis skills, Communication skills"
